date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:36:06	291/291	---M--	302	error ('Found')	text/html	date:Mon,%2030%20Sep%202019%2007:36:06%20GMT	http://selab.hanyang.ac.kr/robots.txt		(from https://selab.hanyang.ac.kr/)
16:36:06	3198/3198	---M--	200	added ('OK')	text/css	etag:%22c7e-5661403ff5f00%22	https://selab.hanyang.ac.kr/login/style/login.css	C:/WEBAPP/wow/selab.hanyang.ac.kr/login/style/login.css	(from https://selab.hanyang.ac.kr/login/index.php?source=/index.php)
16:36:07	596804/596804	---M--	200	added ('OK')	image/png	etag:%2291b44-4f34b6cc83700%22	https://selab.hanyang.ac.kr/home/images/2.png	C:/WEBAPP/wow/selab.hanyang.ac.kr/home/images/2.png	(from https://selab.hanyang.ac.kr/home/styles/home.css)
16:36:07	204/204	---M--	200	added ('OK')	application/javascript	etag:%22cc-4f34702ad9300%22	https://selab.hanyang.ac.kr/login/script/login.js	C:/WEBAPP/wow/selab.hanyang.ac.kr/login/script/login.js	(from https://selab.hanyang.ac.kr/login/index.php?source=/index.php)
16:36:08	4263/4263	---M--	200	added ('OK')	text/css	etag:%2210a7-4f34702cc1780%22	https://selab.hanyang.ac.kr/notice/styles/notice.css	C:/WEBAPP/wow/selab.hanyang.ac.kr/notice/styles/notice.css	(from https://selab.hanyang.ac.kr/notice/index.php)
16:36:08	2099/2099	---M--	200	added ('OK')	application/javascript	etag:%22833-4f34af981b780%22	https://selab.hanyang.ac.kr/notice/scripts/notices.js	C:/WEBAPP/wow/selab.hanyang.ac.kr/notice/scripts/notices.js	(from https://selab.hanyang.ac.kr/notice/index.php)
16:36:08	904/904	---M--	200	added ('OK')	text/html	date:Mon,%2030%20Sep%202019%2007:36:08%20GMT	https://selab.hanyang.ac.kr/login/index.php?source=/notice/index.php	C:/WEBAPP/wow/selab.hanyang.ac.kr/login/indexc5a4.html	(from https://selab.hanyang.ac.kr/notice/index.php)
16:36:09	1802/1802	---M--	200	added ('OK')	text/css	etag:%2270a-51eb17778bf80%22	https://selab.hanyang.ac.kr/courses/styles/course-home.css	C:/WEBAPP/wow/selab.hanyang.ac.kr/courses/styles/course-home.css	(from https://selab.hanyang.ac.kr/courses/cse326/2019/index.php)
16:36:09	1652/1652	---M--	200	added ('OK')	text/css	etag:%22674-549cc7903c700%22	https://selab.hanyang.ac.kr/courses/styles/course-slides.css	C:/WEBAPP/wow/selab.hanyang.ac.kr/courses/styles/course-slides.css	(from https://selab.hanyang.ac.kr/courses/cse326/2019/index.php)
16:36:10	700/700	---M--	200	added ('OK')	application/javascript	etag:%222bc-52066090aa980%22	https://selab.hanyang.ac.kr/courses/scripts/course-page.js	C:/WEBAPP/wow/selab.hanyang.ac.kr/courses/scripts/course-page.js	(from https://selab.hanyang.ac.kr/courses/cse326/2019/index.php)
16:36:10	917/917	---M--	200	added ('OK')	text/html	date:Mon,%2030%20Sep%202019%2007:36:10%20GMT	https://selab.hanyang.ac.kr/login/index.php?source=/courses/cse326/2019/index.php	C:/WEBAPP/wow/selab.hanyang.ac.kr/login/index2c92.html	(from https://selab.hanyang.ac.kr/courses/cse326/2019/index.php)
16:36:10	8192/8192	---M--	200	added ('OK')	text/html	etag:%222000-592db97555b80%22	https://selab.hanyang.ac.kr/courses/cse326/2019/project/project.html	C:/WEBAPP/wow/selab.hanyang.ac.kr/courses/cse326/2019/project/project.html	(from https://selab.hanyang.ac.kr/courses/cse326/2019/index.php)
16:36:10	8981/8981	---M--	200	added ('OK')	text/html	etag:%222315-59348666e8240%22	https://selab.hanyang.ac.kr/courses/cse326/2019/lecture/00-introduction.html	C:/WEBAPP/wow/selab.hanyang.ac.kr/courses/cse326/2019/lecture/00-introduction.html	(from https://selab.hanyang.ac.kr/courses/cse326/2019/index.php)
16:36:10	17071/17071	---M--	200	added ('OK')	text/html	etag:%2242af-59348667dc480%22	https://selab.hanyang.ac.kr/courses/cse326/2019/lecture/01-www.html	C:/WEBAPP/wow/selab.hanyang.ac.kr/courses/cse326/2019/lecture/01-www.html	(from https://selab.hanyang.ac.kr/courses/cse326/2019/index.php)
16:36:11	52776/52776	---M--	200	added ('OK')	text/html	etag:%22ce28-59348667dc480%22	https://selab.hanyang.ac.kr/courses/cse326/2019/lecture/02-html.html	C:/WEBAPP/wow/selab.hanyang.ac.kr/courses/cse326/2019/lecture/02-html.html	(from https://selab.hanyang.ac.kr/courses/cse326/2019/index.php)
16:36:12	37594/37594	---M--	200	added ('OK')	text/html	etag:%2292da-59348668d06c0%22	https://selab.hanyang.ac.kr/courses/cse326/2019/lecture/03-css.html	C:/WEBAPP/wow/selab.hanyang.ac.kr/courses/cse326/2019/lecture/03-css.html	(from https://selab.hanyang.ac.kr/courses/cse326/2019/index.php)
16:36:12	322342/322342	---M--	200	added ('OK')	file/unknown	date:Mon,%2030%20Sep%202019%2007:36:08%20GMT	https://selab.hanyang.ac.kr/notice/download.php?filename=12014_04_29_20_20_53^PL-SE_1st%20schedule.pdf	C:/WEBAPP/wow/selab.hanyang.ac.kr/notice/PL-SE_1st%20schedule7f07.pdf	(from https://selab.hanyang.ac.kr/notice/index.php)
16:36:12	44399/44399	---M--	200	added ('OK')	text/html	etag:%22ad6f-5937039080380%22	https://selab.hanyang.ac.kr/courses/cse326/2019/lecture/04-layout.html	C:/WEBAPP/wow/selab.hanyang.ac.kr/courses/cse326/2019/lecture/04-layout.html	(from https://selab.hanyang.ac.kr/courses/cse326/2019/index.php)
16:36:12	58969/58969	---M--	200	added ('OK')	text/html	etag:%22e659-5934866ab8b40%22	https://selab.hanyang.ac.kr/courses/cse326/2019/lecture/05-PHP.html	C:/WEBAPP/wow/selab.hanyang.ac.kr/courses/cse326/2019/lecture/05-PHP.html	(from https://selab.hanyang.ac.kr/courses/cse326/2019/index.php)
